response_id,row_id,source_col,kommun,token
2_Q7_1_TXT,2,Q7_1_TXT,Hedemora,dräcken
3_Q7_1_TXT,3,Q7_1_TXT,Smedjebacken,södetbärke
3_Q7_1_TXT,3,Q7_1_TXT,Smedjebacken,där
3_Q7_1_TXT,3,Q7_1_TXT,Smedjebacken,bor
5_Q7_1_TXT,5,Q7_1_TXT,Orsa,orsbleck
6_Q7_1_TXT,6,Q7_1_TXT,Mora,öomvik
7_Q7_1_TXT,7,Q7_1_TXT,Rattvik,styggforsen
8_Q7_1_TXT,8,Q7_1_TXT,Mora,vinässkogen
9_Q7_1_TXT,9,Q7_1_TXT,Sater,mörtabergets
9_Q7_1_TXT,9,Q7_1_TXT,Sater,utkiksplats
10_Q7_1_TXT,10,Q7_1_TXT,Vansbro,sommarstuga
11_Q7_1_TXT,11,Q7_1_TXT,Avesta,näs
12_Q7_1_TXT,12,Q7_1_TXT,Ludvika,sunnansjö
16_Q7_1_TXT,16,Q7_1_TXT,Orsa,torsmo
19_Q7_1_TXT,19,Q7_1_TXT,Borlange,skräddarnacken
24_Q7_1_TXT,24,Q7_1_TXT,Ludvika,loberg
28_Q7_1_TXT,28,Q7_1_TXT,Malung-Salen,grövelsjön
29_Q7_1_TXT,29,Q7_1_TXT,Mora,vasaloppsspåret
30_Q7_1_TXT,30,Q7_1_TXT,Avesta,familj
31_Q7_1_TXT,31,Q7_1_TXT,Leksand,hem
32_Q7_1_TXT,32,Q7_1_TXT,Smedjebacken,bångtjärn
38_Q7_1_TXT,38,Q7_1_TXT,Ludvika,båtplatsen
38_Q7_1_TXT,38,Q7_1_TXT,Ludvika,gillar
38_Q7_1_TXT,38,Q7_1_TXT,Ludvika,ta
38_Q7_1_TXT,38,Q7_1_TXT,Ludvika,båten
38_Q7_1_TXT,38,Q7_1_TXT,Ludvika,åka
39_Q7_1_TXT,39,Q7_1_TXT,Falun,sveden
40_Q7_1_TXT,40,Q7_1_TXT,Ludvika,hemma
41_Q7_1_TXT,41,Q7_1_TXT,Falun,hos
41_Q7_1_TXT,41,Q7_1_TXT,Falun,mormor
42_Q7_1_TXT,42,Q7_1_TXT,Malung-Salen,hemskogen
43_Q7_1_TXT,43,Q7_1_TXT,Smedjebacken,skräddartorp
44_Q7_1_TXT,44,Q7_1_TXT,Sater,hemma
45_Q7_1_TXT,45,Q7_1_TXT,Mora,sollerön
47_Q7_1_TXT,47,Q7_1_TXT,Borlange,tyskö
48_Q7_1_TXT,48,Q7_1_TXT,Orsa,norudden
53_Q7_1_TXT,53,Q7_1_TXT,Rattvik,lerdalsberget
54_Q7_1_TXT,54,Q7_1_TXT,Rattvik,lömming
56_Q7_1_TXT,56,Q7_1_TXT,Mora,uppväxt
56_Q7_1_TXT,56,Q7_1_TXT,Mora,där
56_Q7_1_TXT,56,Q7_1_TXT,Mora,skogarna
56_Q7_1_TXT,56,Q7_1_TXT,Mora,där
56_Q7_1_TXT,56,Q7_1_TXT,Mora,sen
56_Q7_1_TXT,56,Q7_1_TXT,Mora,liten
56_Q7_1_TXT,56,Q7_1_TXT,Mora,ridit
56_Q7_1_TXT,56,Q7_1_TXT,Mora,plockat
56_Q7_1_TXT,56,Q7_1_TXT,Mora,blåbär
56_Q7_1_TXT,56,Q7_1_TXT,Mora,gått
56_Q7_1_TXT,56,Q7_1_TXT,Mora,hundarna
56_Q7_1_TXT,56,Q7_1_TXT,Mora,njutit
57_Q7_1_TXT,57,Q7_1_TXT,Ludvika,naturum
57_Q7_1_TXT,57,Q7_1_TXT,Ludvika,dalarna
62_Q7_1_TXT,62,Q7_1_TXT,Mora,andljusvarden
63_Q7_1_TXT,63,Q7_1_TXT,Mora,axi
65_Q7_1_TXT,65,Q7_1_TXT,Smedjebacken,närområdet
66_Q7_1_TXT,66,Q7_1_TXT,Alvdalen,toppen
67_Q7_1_TXT,67,Q7_1_TXT,Hedemora,utah
67_Q7_1_TXT,67,Q7_1_TXT,Hedemora,berget
74_Q7_1_TXT,74,Q7_1_TXT,Gagnef,skogen
74_Q7_1_TXT,74,Q7_1_TXT,Gagnef,ovanför
74_Q7_1_TXT,74,Q7_1_TXT,Gagnef,byn
75_Q7_1_TXT,75,Q7_1_TXT,Sater,skenahyttan
76_Q7_1_TXT,76,Q7_1_TXT,Mora,säs
77_Q7_1_TXT,77,Q7_1_TXT,Leksand,brända
78_Q7_1_TXT,78,Q7_1_TXT,Vansbro,finnjällsn
80_Q7_1_TXT,80,Q7_1_TXT,Smedjebacken,lövåsen
83_Q7_1_TXT,83,Q7_1_TXT,Malung-Salen,plats
87_Q7_1_TXT,87,Q7_1_TXT,Malung-Salen,öje
90_Q7_1_TXT,90,Q7_1_TXT,Mora,orsa
90_Q7_1_TXT,90,Q7_1_TXT,Mora,camping
